,country,lang,project,id,adm0,adm1,adm2,adm3,adm4,name,address,municipality,lat,lon,lat_int,lon_int,image,commonscat,source,changed,monument_article,registrant_url
916,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003137,bytearray(b'se'),bytearray(b'se-ac'),Sorsele,,,[[Jillesnåle kapell|Jillesnåle kapell (Gillesnuole kapell)]] (Jillesnåle 2:1),,Sorsele,65.81472,16.75368,1316.0,335.0,Gillesnuole1.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Jillesnåle_kapell,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003137
917,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003138,bytearray(b'se'),bytearray(b'se-ac'),Storuman,,,[[Strömsunds kapell]] (Strömsund 1:24),,Storuman,65.32581,16.6303,1307.0,333.0,,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Strömsunds_kapell,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003138
918,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003139,bytearray(b'se'),bytearray(b'se-ac'),Storuman,,,[[Umnäs kyrka]] (Umnäs 1:46),,Storuman,65.43921,16.08247,1309.0,322.0,Umnas kyrka01.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Umnäs_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003139
919,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003140,bytearray(b'se'),bytearray(b'se-ac'),Storuman,,,[[Åskilje kyrka]] (Åskilje 2:85),,Storuman,64.90882,17.85937,1298.0,357.0,Åskilje kyrka-2012-06-24.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Åskilje_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003140
920,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003141,bytearray(b'se'),bytearray(b'se-ac'),Umeå,,,[[Holmöns kyrka]] (Holmön 21:1),,Umeå,63.79889,20.87175,1276.0,417.0,Holmöns kyrka 3.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Holmöns_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003141
921,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003142,bytearray(b'se'),bytearray(b'se-ac'),Umeå,,,[[Backenkyrkan|Umeå landsförsamlings kyrka (Backenkyrkan)]] (Backen 7:12),,Umeå,63.83071,20.16992,1277.0,403.0,Backens kyrka Umeå.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Backenkyrkan,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003142
922,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003143,bytearray(b'se'),bytearray(b'se-ac'),Vilhelmina,,,[[Vilhelmina kyrka]] (Kyrkan 1),,Vilhelmina,64.62971,16.64572,1293.0,333.0,Vilhelmina kyrka main view.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Vilhelmina_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003143
923,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003144,bytearray(b'se'),bytearray(b'se-ac'),Vilhelmina,,,[[Dikanäs kyrka]] (Dikanäs 3:1),,Vilhelmina,65.23588,15.99637,1305.0,320.0,,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Dikanäs_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003144
924,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003145,bytearray(b'se'),bytearray(b'se-ac'),Vilhelmina,,,[[Latikbergs kyrka]] (Latikberg 3:47),,Vilhelmina,64.64418,17.07959,1293.0,342.0,,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Latikbergs_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003145
925,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003146,bytearray(b'se'),bytearray(b'se-ac'),Vindeln,,,[[Åmsele kyrka]] (Åmsele 7:1),,Vindeln,64.52808,19.33951,1291.0,387.0,Amselekyrka1.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Åmsele_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003146
